Serial Number:	20725838 --

Date Time, GMT -0400	Temp, (*F)	Button Down	Button Up	Host Connect	Stopped	EOF	
2022-06-03 14:25:51	72.30	 	 	 	 	 	
2022-06-03 14:25:52	72.30	 	 	 	 	 	
2022-06-03 14:25:53	72.23	 	 	 	 	 	
2022-06-03 14:25:54	72.23	 	 	 	 	 	
2022-06-03 14:25:55	72.30	 	 	 	 	 	
2022-06-03 14:25:56	72.30	 	 	 	 	 	
2022-06-03 14:25:57	72.23	 	 	 	 	 	
2022-06-03 14:25:58	72.30	 	 	 	 	 	
2022-06-03 14:25:59	72.23	 	 	 	 	 	
2022-06-03 14:26:00	72.23	 	 	 	 	 	
2022-06-03 14:26:01	72.23	 	 	 	 	 	
2022-06-03 14:26:02	72.23	 	 	 	 	 	
2022-06-03 14:26:03	72.15	 	 	 	 	 	
2022-06-03 14:26:04	72.23	 	 	 	 	 	
2022-06-03 14:26:05	72.23	 	 	 	 	 	
2022-06-03 14:26:06	72.30	 	 	 	 	 	
2022-06-03 14:26:07	72.23	 	 	 	 	 	
2022-06-03 14:26:08	72.23	 	 	 	 	 	
2022-06-03 14:26:09	72.30	 	 	 	 	 	
2022-06-03 14:26:10	72.15	 	 	 	 	 	
2022-06-03 14:26:11	72.23	 	 	 	 	 	
2022-06-03 14:26:12	72.23	 	 	 	 	 	
2022-06-03 14:26:13	72.30	 	 	 	 	 	
2022-06-03 14:26:14	72.15	 	 	 	 	 	
2022-06-03 14:26:15	72.23	 	 	 	 	 	
2022-06-03 14:26:16	72.23	 	 	 	 	 	
2022-06-03 14:26:17	72.23	 	 	 	 	 	
2022-06-03 14:26:18	72.30	 	 	 	 	 	
2022-06-03 14:26:19	72.23	 	 	 	 	 	
2022-06-03 14:26:20	72.30	 	 	 	 	 	
2022-06-03 14:26:21	72.23	 	 	 	 	 	
2022-06-03 14:26:22	72.23	 	 	 	 	 	
2022-06-03 14:26:23	72.15	 	 	 	 	 	
2022-06-03 14:26:24	72.23	 	 	 	 	 	
2022-06-03 14:26:25	72.23	 	 	 	 	 	
