Serial Number:	20725838 --

Date Time, GMT -0400	Temp, (*F)	Button Down	Button Up	Host Connect	EOF	
2022-06-20 14:47:31	142.34	 	 	 	 	
2022-06-20 14:47:32	142.34	 	 	 	 	
2022-06-20 14:47:33	142.34	 	 	 	 	
2022-06-20 14:47:34	142.34	 	 	 	 	
2022-06-20 14:47:35	142.34	 	 	 	 	
2022-06-20 14:47:36	142.34	 	 	 	 	
2022-06-20 14:47:37	142.34	 	 	 	 	
2022-06-20 14:47:38	142.34	 	 	 	 	
2022-06-20 14:47:39	142.42	 	 	 	 	
2022-06-20 14:47:40	142.34	 	 	 	 	
2022-06-20 14:47:41	142.34	 	 	 	 	
2022-06-20 14:47:42	142.34	 	 	 	 	
2022-06-20 14:47:43	142.34	 	 	 	 	
2022-06-20 14:47:44	142.42	 	 	 	 	
2022-06-20 14:47:45	142.34	 	 	 	 	
2022-06-20 14:47:46	142.34	 	 	 	 	
2022-06-20 14:47:47	142.34	 	 	 	 	
2022-06-20 14:47:48	142.34	 	 	 	 	
2022-06-20 14:47:49	142.34	 	 	 	 	
2022-06-20 14:47:50	142.34	 	 	 	 	
2022-06-20 14:47:51	142.34	 	 	 	 	
2022-06-20 14:47:52	142.27	 	 	 	 	
2022-06-20 14:47:53	142.34	 	 	 	 	
2022-06-20 14:47:54	142.34	 	 	 	 	
2022-06-20 14:47:55	142.34	 	 	 	 	
2022-06-20 14:47:56	142.34	 	 	 	 	
2022-06-20 14:47:57	142.27	 	 	 	 	
2022-06-20 14:47:58	142.27	 	 	 	 	
2022-06-20 14:47:59	142.27	 	 	 	 	
2022-06-20 14:48:00	142.34	 	 	 	 	
2022-06-20 14:48:01	142.27	 	 	 	 	
2022-06-20 14:48:02	142.27	 	 	 	 	
2022-06-20 14:48:03	142.27	 	 	 	 	
2022-06-20 14:48:04	142.27	 	 	 	 	
2022-06-20 14:48:05	142.27	 	 	 	 	
2022-06-20 14:48:06	142.27	 	 	 	 	
2022-06-20 14:48:07	142.34	 	 	 	 	
2022-06-20 14:48:08	142.27	 	 	 	 	
2022-06-20 14:48:09	142.34	 	 	 	 	
2022-06-20 14:48:10	142.27	 	 	 	 	
2022-06-20 14:48:11	142.27	 	 	 	 	
2022-06-20 14:48:12	142.27	 	 	 	 	
2022-06-20 14:48:13	142.27	 	 	 	 	
2022-06-20 14:48:14	142.27	 	 	 	 	
2022-06-20 14:48:15	142.34	 	 	 	 	
2022-06-20 14:48:16	142.27	 	 	 	 	
2022-06-20 14:48:17	142.27	 	 	 	 	
2022-06-20 14:48:18	142.19	 	 	 	 	
2022-06-20 14:48:19	142.19	 	 	 	 	
2022-06-20 14:48:20	142.27	 	 	 	 	
2022-06-20 14:48:21	142.27	 	 	 	 	
2022-06-20 14:48:22	142.34	 	 	 	 	
2022-06-20 14:48:23	142.34	 	 	 	 	
2022-06-20 14:48:24	142.34	 	 	 	 	
2022-06-20 14:48:25	142.34	 	 	 	 	
2022-06-20 14:48:26	142.27	 	 	 	 	
2022-06-20 14:48:27	142.27	 	 	 	 	
2022-06-20 14:48:28	142.27	 	 	 	 	
2022-06-20 14:48:29	142.27	 	 	 	 	
2022-06-20 14:48:30	142.27	 	 	 	 	
2022-06-20 14:48:31	142.34	 	 	 	 	
2022-06-20 14:48:32	142.34	 	 	 	 	
2022-06-20 14:48:33	142.42	 	 	 	 	
2022-06-20 14:48:34	142.34	 	 	 	 	
2022-06-20 14:48:35	142.34	 	 	 	 	
2022-06-20 14:48:36	142.34	 	 	 	 	
2022-06-20 14:48:37	142.42	 	 	 	 	
2022-06-20 14:48:38	142.34	 	 	 	 	
2022-06-20 14:48:39	142.42	 	 	 	 	
2022-06-20 14:48:40	142.50	 	 	 	 	
2022-06-20 14:48:41	142.42	 	 	 	 	
2022-06-20 14:48:42	142.42	 	 	 	 	
2022-06-20 14:48:43	142.42	 	 	 	 	
2022-06-20 14:48:44	142.50	 	 	 	 	
2022-06-20 14:48:45	142.50	 	 	 	 	
2022-06-20 14:48:46	142.42	 	 	 	 	
2022-06-20 14:48:47	142.42	 	 	 	 	
2022-06-20 14:48:48	142.42	 	 	 	 	
2022-06-20 14:48:49	142.50	 	 	 	 	
2022-06-20 14:48:50	142.50	 	 	 	 	
2022-06-20 14:48:51	142.42	 	 	 	 	
2022-06-20 14:48:52	142.42	 	 	 	 	
2022-06-20 14:48:53	142.50	 	 	 	 	
2022-06-20 14:48:54	142.50	 	 	 	 	
2022-06-20 14:48:55	142.42	 	 	 	 	
2022-06-20 14:48:56	142.42	 	 	 	 	
2022-06-20 14:48:57	142.42	 	 	 	 	
2022-06-20 14:48:58	142.42	 	 	 	 	
2022-06-20 14:48:59	142.34	 	 	 	 	
2022-06-20 14:49:00	142.42	 	 	 	 	
2022-06-20 14:49:01	142.42	 	 	 	 	
2022-06-20 14:49:02	142.42	 	 	 	 	
2022-06-20 14:49:03	142.42	 	 	 	 	
2022-06-20 14:49:04	142.34	 	 	 	 	
2022-06-20 14:49:05	142.34	 	 	 	 	
2022-06-20 14:49:06	142.42	 	 	 	 	
2022-06-20 14:49:07	142.34	 	 	 	 	
2022-06-20 14:49:08	142.42	 	 	 	 	
2022-06-20 14:49:09	142.34	 	 	 	 	
2022-06-20 14:49:10	142.34	 	 	 	 	
2022-06-20 14:49:11	142.19	 	 	 	 	
2022-06-20 14:49:12	142.19	 	 	 	 	
2022-06-20 14:49:13	142.19	 	 	 	 	
2022-06-20 14:49:14	142.11	 	 	 	 	
2022-06-20 14:49:15	142.11	 	 	 	 	
2022-06-20 14:49:16	142.03	 	 	 	 	
2022-06-20 14:49:17	142.11	 	 	 	 	
2022-06-20 14:49:18	141.96	 	 	 	 	
2022-06-20 14:49:19	141.80	 	 	 	 	
2022-06-20 14:49:20	141.80	 	 	 	 	
2022-06-20 14:49:21	141.80	 	 	 	 	
2022-06-20 14:49:22	141.65	 	 	 	 	
