"site","date","period","sum_flux"
"Deans","2022-08-16","1~2",2.86875127803961
"Deans","2022-08-16","2~3",7.86512347620424
"Deans","2022-08-16","3~4",0.910347777545432
"Deans","2022-08-16","4~5",16.2611344305053
"Deans","2022-08-16","5~6",2.32315489273122
"Deans","2022-08-16","6~7",9.11537702817511
"Deans","2022-08-16","7~8",6.98116488571704
"Deans","2022-08-16","0~1",0.435517489462421
"Deans","2022-08-16","1~2",5.32334864988542
"Deans","2022-08-16","2~3",4.91485964530646
"Deans","2022-08-16","3~4",2.24695044561832
"Deans","2022-08-16","4~5",30.1496599066642
"Deans","2022-08-16","5~6",2.00405225052139
"Deans","2022-08-16","6~7",9.30320835888189
"Deans","2022-08-16","7~8",3.42981452077358
"Deans","2022-08-16","0~1",0.362854327928666
"Deans","2022-08-16","1~2",5.50826774060767
"Deans","2022-08-16","2~3",9.1505708879486
"Deans","2022-08-16","3~4",3.28124059320376
"Deans","2022-08-16","4~5",2.43103231527459
"Deans","2022-08-16","5~6",2.07964186215866
"Deans","2022-08-16","6~7",3.24423268502619
"Deans","2022-08-16","7~8",2.43734634932725
"Deans","2022-08-16","0~1",0.727946212859795
"Deans","2022-08-16","1~2",4.29388001768937
"Deans","2022-08-16","2~3",3.30101076541307
"Deans","2022-08-16","3~4",2.37586735672863
"Deans","2022-08-16","4~5",2.91599572825671
"Deans","2022-08-16","5~6",2.31086133044537
"Deans","2022-08-16","6~7",4.94387641662421
"Deans","2022-08-16","7~8",4.24312737877216
"Deans","2022-08-16","0~1",0.632006752472183
"Deans","2022-08-16","1~2",6.98687482251381
"Deans","2022-08-16","2~3",2.03168896936232
"Deans","2022-08-16","3~4",2.01808824633284
"Deans","2022-08-16","4~5",6.40461716985293
"Deans","2022-08-16","5~6",2.46491646276169
"Deans","2022-08-16","6~7",2.44533924662689
"Deans","2022-08-16","7~8",3.48970387174581
"Deans","2022-08-16","0~1",0.034843652902817
"Deans","2022-08-16","1~2",4.75107940682174
"Deans","2022-08-16","2~3",10.1088547283606
"Deans","2022-08-16","3~4",0.754823178496602
"Deans","2022-08-16","4~5",6.01546973473686
"Deans","2022-08-16","5~6",4.09742692018156
"Deans","2022-08-16","6~7",3.28982324817122
"Deans","2022-08-16","7~8",5.3704819188567
"Deans","2022-08-16","0~1",0.078459266917769
"Deans","2022-08-16","1~2",6.5110835257914
"Deans","2022-08-16","2~3",9.85680424992704
"Deans","2022-08-16","3~4",1.49984246948049
"Deans","2022-08-16","4~5",14.0821080030772
"Deans","2022-08-16","5~6",2.95443585054779
"Deans","2022-08-16","6~7",3.19811774813465
"Deans","2022-08-16","7~8",3.2462389701611
"Deans","2022-08-16","0~1",0.740128373868518
"Deans","2022-08-16","1~2",4.49856814528914
"Deans","2022-08-16","2~3",7.82985850271729
"Deans","2022-08-16","3~4",2.70238969945056
"Deans","2022-08-16","4~5",2.84170762281059
"Deans","2022-08-16","5~6",1.91997689203268
"Deans","2022-08-16","6~7",3.59818857867673
"Deans","2022-08-16","7~8",4.04033815765559
"Deans","2022-08-16","0~1",0.0759929947380574
"Deans","2022-08-16","1~2",6.61145408921466
"Deans","2022-08-16","2~3",3.23797026801183
"Deans","2022-08-16","3~4",0.812768721059804
"Deans","2022-08-16","4~5",3.86270912988829
"Deans","2022-08-16","5~6",2.86075288353149
"Deans","2022-08-16","6~7",2.63983577634244
"Deans","2022-08-16","7~8",5.21610568091429
"Deans","2022-08-16","0~1",1.0733865612294
"Deans","2022-08-16","1~2",7.33342528815867
"Deans","2022-08-16","2~3",2.68503220557981
"Deans","2022-08-16","3~4",1.54671348713621
"Deans","2022-08-16","4~5",14.5988842981829
"Deans","2022-08-16","5~6",3.68333731885023
"Deans","2022-08-16","6~7",6.30290864304692
"Deans","2022-08-16","7~8",1.94143486286605
"Deans","2022-08-16","0~1",0.0812969110670572
"Deans","2022-08-16","1~2",8.80314171909039
"Deans","2022-08-16","2~3",9.1172145808216
"Deans","2022-08-16","3~4",1.4766748573232
"Deans","2022-08-16","4~5",11.065575538528
"Deans","2022-08-16","5~6",1.57157204943007
"Deans","2022-08-16","6~7",3.0771987639612
"Deans","2022-08-16","7~8",2.52508115158096
"Deans","2022-08-16","0~1",0.0807907486197003
"Deans","2022-08-16","1~2",8.44310145404549
"Deans","2022-08-16","2~3",3.10677901502751
"Deans","2022-08-16","3~4",2.01816342741465
"Deans","2022-08-16","4~5",19.8127991168501
"Deans","2022-08-16","5~6",2.00306276537885
"Deans","2022-08-16","6~7",5.95220250404686
"Deans","2022-08-16","7~8",3.56480398843362
"Deans","2022-08-16","0~1",0.706398562899989
"Deans","2022-08-16","1~2",5.26541815252459
"Deans","2022-08-16","2~3",7.7408384926297
"Deans","2022-08-16","3~4",3.24478648465428
"Deans","2022-08-16","4~5",21.4381010556843
"Deans","2022-08-16","5~6",1.94900976098806
"Deans","2022-08-16","6~7",3.74414186195929
"Deans","2022-08-16","7~8",1.85007968099762
"Deans","2022-08-16","0~1",0.724751940026078
"Deans","2022-08-16","1~2",7.16213942082284
"Deans","2022-08-16","2~3",8.14305135344109
"Deans","2022-08-16","3~4",1.77542037955502
"Deans","2022-08-16","4~5",21.7465725933205
"Deans","2022-08-16","5~6",1.44677536694324
"Deans","2022-08-16","6~7",9.09942536250364
"Deans","2022-08-16","7~8",9.53166704468238
"Deans","2022-08-16","0~1",0.164476101883188
"Deans","2022-08-16","1~2",8.8405549275576
"Deans","2022-08-16","2~3",3.11031778896079
"Deans","2022-08-16","3~4",2.01642063850507
