"change_diff_eb","site","date","nl"
0.00326814308329872,"Deans",2022-08-16,4
0.0682664048106205,"Deans",2022-08-16,4
0.00721236466811466,"Deans",2022-08-16,4
0.0102912284705418,"Deans",2022-08-16,4
0.0297343202416806,"Deans",2022-08-16,4
0.0704851201664599,"Deans",2022-08-16,4
0.00659858778501505,"Deans",2022-08-16,4
0.0232632313909518,"Deans",2022-08-16,4
0.0147246020159076,"Deans",2022-08-16,4
0.00324946059866949,"Deans",2022-08-16,4
0.0483015152741783,"Deans",2022-08-16,4
0.0196809422865674,"Deans",2022-08-16,4
0.0348297683976119,"Deans",2022-08-16,4
0.097962857133884,"Deans",2022-08-16,4
0.0133275312550762,"Deans",2022-08-16,4
0.0219261318433605,"Deans",2022-08-16,4
0.00851763078820994,"Deans",2022-08-16,4
0.0537670033369715,"Deans",2022-08-16,4
0.00854836820622253,"Deans",2022-08-16,4
0.0166404581914304,"Deans",2022-08-16,4
0.0185212545018621,"Deans",2022-08-16,4
0.0122889161185884,"Deans",2022-08-16,4
0.0162130223741571,"Deans",2022-08-16,4
0.0156103504240964,"Deans",2022-08-16,4
0.0284168938932723,"Deans",2022-08-16,4
0.00275236359772524,"Deans",2022-08-16,4
0.0387702172700543,"Deans",2022-08-16,4
0.0275140057129588,"Deans",2022-08-16,4
0.0247495147359012,"Deans",2022-08-16,4
0.00352607941421158,"Deans",2022-08-16,4
0.0216596815613938,"Deans",2022-08-16,4
0.017498348537089,"Deans",2022-08-16,4
0.0123372447906143,"Deans",2022-08-16,4
0.00772546253392649,"Deans",2022-08-16,4
0.0313079950079501,"Deans",2022-08-16,4
0.00852648431514633,"Deans",2022-08-16,4
0.0104881598324196,"Deans",2022-08-16,4
0.00738912565603412,"Deans",2022-08-16,4
0.0164783274830042,"Deans",2022-08-16,4
0.0227345539372456,"Deans",2022-08-16,4
0.0293129116872047,"Deans",2022-08-16,4
0.00447584652732208,"Deans",2022-08-16,4
0.010048031159975,"Deans",2022-08-16,4
0.0091571019452543,"Deans",2022-08-16,4
0.0114120174752814,"Deans",2022-08-16,4
0.00655382362520002,"Deans",2022-08-16,4
0.00564173443512154,"Deans",2022-08-16,4
0.0105205647336961,"Deans",2022-08-16,4
0.041203288618844,"Deans",2022-08-16,4
0.0238222480833235,"Deans",2022-08-16,4
0.0125169843849322,"Deans",2022-08-16,4
0.0161249922104952,"Deans",2022-08-16,4
0.0096222000044337,"Deans",2022-08-16,4
0.00860806573735098,"Deans",2022-08-16,4
0.00134085607138408,"Deans",2022-08-16,4
0.0253813926753591,"Deans",2022-08-16,4
0.0104211685937056,"Deans",2022-08-16,4
