Serial Number:	20725838 --

Date Time, GMT -0400	Temp, (*C)	Button Down	Button Up	Host Connect	EOF	
2022-07-12 12:49:27	38.31	 	 	 	 	
2022-07-12 12:49:28	38.31	 	 	 	 	
2022-07-12 12:49:29	38.35	 	 	 	 	
2022-07-12 12:49:30	38.26	 	 	 	 	
2022-07-12 12:49:31	38.31	 	 	 	 	
2022-07-12 12:49:32	38.35	 	 	 	 	
2022-07-12 12:49:33	38.35	 	 	 	 	
2022-07-12 12:49:34	38.35	 	 	 	 	
2022-07-12 12:49:35	38.31	 	 	 	 	
2022-07-12 12:49:36	38.35	 	 	 	 	
2022-07-12 12:49:37	38.35	 	 	 	 	
2022-07-12 12:49:38	38.35	 	 	 	 	
2022-07-12 12:49:39	38.35	 	 	 	 	
2022-07-12 12:49:40	38.35	 	 	 	 	
