"","Unix Timestamp","UTC_Date_&_Time","Eastern Standard Time","Battery","Temperature","Dissolved Oxygen","Dissolved Oxygen Saturation","Q","DO_mgL","Date_Time"
"130","1654965960","2022-06-11 16:46:00","2022-06-11 12:46:00","3.210000","13.817000","0.058000","0.560530","0.947000",0.058,2022-06-11 12:46:00
"131","1654966560","2022-06-11 16:56:00","2022-06-11 12:56:00","3.210000","13.834000","0.057000","0.551072","0.947000",0.057,2022-06-11 12:56:00
"132","1654967160","2022-06-11 17:06:00","2022-06-11 13:06:00","3.210000","13.817000","0.059000","0.570195","0.947000",0.059,2022-06-11 13:06:00
"133","1654967760","2022-06-11 17:16:00","2022-06-11 13:16:00","3.210000","13.826000","0.058000","0.560642","0.947000",0.058,2022-06-11 13:16:00
"134","1654968360","2022-06-11 17:26:00","2022-06-11 13:26:00","3.210000","13.782000","0.057000","0.550441","0.947000",0.057,2022-06-11 13:26:00
"135","1654968960","2022-06-11 17:36:00","2022-06-11 13:36:00","3.210000","13.808000","0.057000","0.550757","0.947000",0.057,2022-06-11 13:36:00
"136","1654969560","2022-06-11 17:46:00","2022-06-11 13:46:00","3.210000","13.808000","0.058000","0.560419","0.947000",0.058,2022-06-11 13:46:00
"137","1654970160","2022-06-11 17:56:00","2022-06-11 13:56:00","3.210000","13.834000","0.057000","0.551072","0.947000",0.057,2022-06-11 13:56:00
"138","1654970760","2022-06-11 18:06:00","2022-06-11 14:06:00","3.210000","13.834000","0.057000","0.551072","0.947000",0.057,2022-06-11 14:06:00
"139","1654971360","2022-06-11 18:16:00","2022-06-11 14:16:00","3.210000","13.826000","0.058000","0.560642","0.947000",0.058,2022-06-11 14:16:00
"140","1654971960","2022-06-11 18:26:00","2022-06-11 14:26:00","3.210000","13.826000","0.057000","0.550975","0.947000",0.057,2022-06-11 14:26:00
"141","1654972560","2022-06-11 18:36:00","2022-06-11 14:36:00","3.210000","13.808000","0.058000","0.560419","0.947000",0.058,2022-06-11 14:36:00
"142","1654973160","2022-06-11 18:46:00","2022-06-11 14:46:00","3.210000","13.817000","0.058000","0.560530","0.947000",0.058,2022-06-11 14:46:00
"143","1654973760","2022-06-11 18:56:00","2022-06-11 14:56:00","3.210000","13.826000","0.058000","0.560642","0.947000",0.058,2022-06-11 14:56:00
"144","1654974360","2022-06-11 19:06:00","2022-06-11 15:06:00","3.210000","13.808000","0.058000","0.560419","0.947000",0.058,2022-06-11 15:06:00
"145","1654974960","2022-06-11 19:16:00","2022-06-11 15:16:00","3.210000","13.834000","0.057000","0.551072","0.947000",0.057,2022-06-11 15:16:00
"146","1654975560","2022-06-11 19:26:00","2022-06-11 15:26:00","3.210000","13.808000","0.057000","0.550757","0.947000",0.057,2022-06-11 15:26:00
"147","1654976160","2022-06-11 19:36:00","2022-06-11 15:36:00","3.210000","13.799000","0.057000","0.550648","0.947000",0.057,2022-06-11 15:36:00
"148","1654976760","2022-06-11 19:46:00","2022-06-11 15:46:00","3.210000","13.817000","0.057000","0.550866","0.947000",0.057,2022-06-11 15:46:00
"149","1654977360","2022-06-11 19:56:00","2022-06-11 15:56:00","3.210000","13.808000","0.058000","0.560419","0.947000",0.058,2022-06-11 15:56:00
"150","1654977960","2022-06-11 20:06:00","2022-06-11 16:06:00","3.210000","13.817000","0.057000","0.550866","0.947000",0.057,2022-06-11 16:06:00
"151","1654978560","2022-06-11 20:16:00","2022-06-11 16:16:00","3.210000","13.799000","0.057000","0.550648","0.947000",0.057,2022-06-11 16:16:00
